pmcid,question,answer,
11953859,"What is a leading cause of mortality in the United States, often complicated by comorbidities like diabetes mellitus (pmcid=11953859)?",Heart failure (HF),89bbfd50fa2145987a221775219e191f
11953859,What impact do patients with heart failure and type 2 diabetes face (pmcid=11953859)?,"Patients with heart failure and type 2 diabetes face high hospitalization risks, which impact clinical outcomes and health care resources.",89bbfd50fa2145987a221775219e191f
11953859,What trial showed that sotagliflozin reduced rehospitalizations in patients with heart failure and type 2 diabetes (pmcid=11953859)?,The Effect of Sotagliflozin on Cardiovascular Events in Patients with Type 2 Diabetes Post Worsening Heart Failure (SOLOIST-WHF) trial,89bbfd50fa2145987a221775219e191f
11953859,"What remains unclear from a payer perspective regarding the economic impact of sotagliflozin, warranting further analysis to guide managed care decisions (pmcid=11953859)?","The economic impact of sotagliflozin from a payer perspective remains unclear, warranting further pharmacoeconomic analysis to guide managed care decisions.",89bbfd50fa2145987a221775219e191f
11953859,What is the objective of the study (pmcid=11953859)?,The objective of the study with pmcid=11953859 is to quantify the budget impact of sotagliflozin for US payers over a 5-year time horizon.,89bbfd50fa2145987a221775219e191f
11953859,What perspective was used in the budget impact model developed to assess the financial impact of incorporating sotagliflozin for the treatment of patients recently hospitalized for HF with comorbid type 2 diabetes (T2D) (pmcid=11953859)?,The budget impact model developed used a payer perspective to assess the financial impact of incorporating sotagliflozin for the treatment of patients recently hospitalized for heart failure with comorbid type 2 diabetes (T2D).,89bbfd50fa2145987a221775219e191f
11953859,What population was used in the study (pmcid=11953859)?,The population used in the study was reflective of the SOLOIST-WHF clinical trial.,89bbfd50fa2145987a221775219e191f
11953859,What health care resource utilization was included in the analysis (pmcid=11953859)?,"Health care resource utilization included hospitalization, emergency department (ED) visit, and adverse events’ care.",89bbfd50fa2145987a221775219e191f
11953859,What economic outcomes were examined in the study (pmcid=11953859)?,"The economic outcomes examined in the study (pmcid=11953859) included the medical and pharmacy budget impact for payers at the per-user, per member per month (PMPM), and total plan costs levels.",89bbfd50fa2145987a221775219e191f
11953859,How many patients hospitalized for heart failure with comorbid type 2 diabetes would be eligible for sotagliflozin in a hypothetical 1-million-member all-payer plan (pmcid=11953859)?,"1,516 patients hospitalized for heart failure with comorbid type 2 diabetes would be eligible for sotagliflozin in a hypothetical 1-million-member all-payer plan.",89bbfd50fa2145987a221775219e191f
11953859,What were the annual per-user costs impacted by in the budget impact analysis from the US payer perspective (pmcid=11953859)?,The annual per-user costs were impacted by higher pharmacy costs and lower medical costs in the budget impact analysis from the US payer perspective (pmcid=11953859).,89bbfd50fa2145987a221775219e191f
11953859,What is the total budget impact of sotagliflozin in year 1 and year 5 from the US payer perspective (pmcid=11953859)?,"The total budget impact of sotagliflozin in year 1 is $75,736 and in year 5 is $378,681 from the US payer perspective.",89bbfd50fa2145987a221775219e191f
11953859,"What were the PMPM costs for commercial payers and Medicare in year 1 and year 5, according to the study (pmcid=11953859)?","For commercial payers, the PMPM costs were $0.02 in year 1 and $0.11 in year 5. For Medicare, the PMPM costs were $0.23 in year 1 and increased to $1.13 in year 5, according to the study with pmcid=11953859.",89bbfd50fa2145987a221775219e191f
11953859,What is the range of breakeven rebate rates mentioned in the study (pmcid=11953859)?,The range of breakeven rebate rates mentioned in the study with pmcid=11953859 is between 31.5% and 79.4%.,89bbfd50fa2145987a221775219e191f
11953859,What percentage of pharmacy costs were offset from reduced rehospitalization and ED visits for recently hospitalized HF patients with T2D (pmcid=11953859)?,Approximately 21%-68% of pharmacy costs were offset from reduced rehospitalization and ED visits for recently hospitalized HF patients with T2D (pmcid=11953859).,89bbfd50fa2145987a221775219e191f
11849414,What are the routine tests used to detect M-proteins in MM patients (pmcid=11849414)?,Serum or urine protein electrophoresis (SPEP or UPEP) and immunofixation electrophoresis (SIFE or UIFE),4ae7b04289a67daab4a015e7c41bacf7
11849414,What is the limitation of SPEP and SIFE in measuring M-protein levels (pmcid=11849414)?,The limitation of SPEP and SIFE in measuring M-protein levels is that they are not sensitive enough to measure M-protein levels that are low but still clinically significant.,4ae7b04289a67daab4a015e7c41bacf7
11849414,What diagnostic test was evaluated in the study (pmcid=11849414)?,"The EXENT GAM Assay, a serum-based quantitative-immunoprecipitation mass spectrometry (QIP-MS) diagnostic test.",4ae7b04289a67daab4a015e7c41bacf7
11849414,What data was used to create the budget impact model in Excel (pmcid=11849414)?,Data from MM clinical trials and fee schedules.,4ae7b04289a67daab4a015e7c41bacf7
11849414,What are patients tested with at predetermined timepoints in the study (pmcid=11849414)?,Patients are tested with either QIP-MS or SIFE at predetermined timepoints.,4ae7b04289a67daab4a015e7c41bacf7
11849414,What will patients receive if they test negative (pmcid=11849414)?,MRD testing,4ae7b04289a67daab4a015e7c41bacf7
11849414,What will the result of the MRD test determine (pmcid=11849414)?,The result of the MRD test will determine if the preceding serum-based test was a true negative result or a false negative result.,4ae7b04289a67daab4a015e7c41bacf7
11849414,What is the eligibility criteria for MRD testing for patients receiving autologous stem cell transplant and those not receiving transplant (pmcid=11849414)?,Patients receiving autologous stem cell transplant and those not receiving transplant are both eligible for one MRD test per year.,4ae7b04289a67daab4a015e7c41bacf7
11849414,When does MRD testing occur for transplant-eligible patients according to the abstract sentence provided? (pmcid=11849414),MRD testing for transplant-eligible patients occurs prior to transplant and one year following transplant.,4ae7b04289a67daab4a015e7c41bacf7
11849414,What are the results of using QIP-MS instead of SIFE prior to MRD testing in patients with multiple myeloma in France (pmcid=11849414)?,Using QIP-MS instead of SIFE prior to MRD testing in patients with multiple myeloma in France resulted in 1973 fewer false negative results and 744 more false positive results.,4ae7b04289a67daab4a015e7c41bacf7
11849414,What are the total savings per QIP-MS test in this budget impact analysis (pmcid=11849414)?,The total savings per QIP-MS test in this budget impact analysis is €260.,4ae7b04289a67daab4a015e7c41bacf7
11849414,What does this study suggest about the cost-saving potential of using QIP-MS prior to MRD testing for French patients with MM (pmcid=11849414)?,This study suggests that the use of QIP-MS prior to MRD testing may be cost-saving for testing French patients with MM.,4ae7b04289a67daab4a015e7c41bacf7
11871816,What are the cornerstone treatments for cardiovascular prevention in patients with peripheral artery disease (PAD) and/or stable coronary artery disease (SCAD) (pmcid=11871816)?,Low-dose aspirin and rivaroxaban are the cornerstone treatments for cardiovascular prevention in patients with peripheral artery disease (PAD) and/or stable coronary artery disease (SCAD) according to the study with pmcid=11871816.,ddc198ccb56f3d98e6906adc3f6f99cf
11871816,What effect does the combination of rivaroxaban with aspirin have on factor-induced platelet aggregation? (pmcid=11871816),The combination of rivaroxaban with aspirin imposes a synergistic effect on the inhibition of factor-induced platelet aggregation.,ddc198ccb56f3d98e6906adc3f6f99cf
11871816,What did the present work aim at comparing in patients with peripheral artery disease (PAD) or coronary artery disease (CAD) and related subgroups (pmcid=11871816)?,"The present work aimed at comparing the cost-utility and cost-effectiveness of rivaroxaban (2.5 mg twice daily) plus aspirin (100 mg once daily), rivaroxaban alone (5 mg twice daily) with aspirin alone in patients with peripheral artery disease (PAD) or coronary artery disease (CAD) and related subgroups.",ddc198ccb56f3d98e6906adc3f6f99cf
11871816,What type of model was utilized in this pharmacoeconomic study (pmcid=11871816)?,State-transition decision Markov model,ddc198ccb56f3d98e6906adc3f6f99cf
11871816,What data was collected from the COMPASS trial (pmcid=11871816)?,Clinical efficacy and Clinical events were collected from the COMPASS trial.,ddc198ccb56f3d98e6906adc3f6f99cf
11871816,What time horizon was used to assess health outcomes and cost in the study (pmcid=11871816)?,Health outcomes and cost were assessed over a 20-year time horizon (lifetime).,ddc198ccb56f3d98e6906adc3f6f99cf
11871816,What costs were included in the analysis (pmcid=11871816)?,The direct costs of medical services were included in the analysis.,ddc198ccb56f3d98e6906adc3f6f99cf
11871816,What were the results based on in the study conducted by Goudarzi Z (pmcid=11871816)?,The results were based on Incremental Cost-Utility (ICUR) and Incremental Cost Effectiveness Ratio (ICER) in the study conducted by Goudarzi Z.,ddc198ccb56f3d98e6906adc3f6f99cf
11871816,What type of sensitivity analyses were utilized to assess uncertainty in the study (pmcid=11871816)?,Deterministic and probabilistic sensitivity analyses were utilized to assess uncertainty in the study with pmcid=11871816.,ddc198ccb56f3d98e6906adc3f6f99cf
11871816,What discount rates were included for cost and effectiveness data in the analysis (pmcid=11871816)?,Discount rates of .058 and .03 were included for cost and effectiveness data in the analysis (pmcid=11871816).,ddc198ccb56f3d98e6906adc3f6f99cf
11871816,What was estimated as the financial burden resulting from the insurance coverage of rivaroxaban (pmcid=11871816)?,The budget impact based on the Markov model was estimated as the financial burden resulting from the insurance coverage of rivaroxaban.,ddc198ccb56f3d98e6906adc3f6f99cf
11871816,What were the incremental cost-effectiveness ratios for treatment with rivaroxaban plus aspirin and rivaroxaban alone compared to aspirin alone in patients with coronary and peripheral artery diseases in Iran (pmcid=11871816)?,"The incremental cost-effectiveness ratios for treatment with rivaroxaban plus aspirin compared to aspirin alone were $4594 per quality-adjusted life year (QALY) and $3348 per life year gained (LYG). For treatment with rivaroxaban alone compared to aspirin alone, the incremental cost-effectiveness ratios were $13601 per QALY and $9901 per LYG.",ddc198ccb56f3d98e6906adc3f6f99cf
11871816,What were the incremental cost-effectiveness ratio (ICER) and incremental cost-utility ratio (ICUR) values for rivaroxaban plus aspirin compared to aspirin alone in PAD patients (pmcid=11871816)?,The incremental cost-effectiveness ratio (ICER) was $9896/LYG and the incremental cost-utility ratio (ICUR) was $11929/QALY for rivaroxaban plus aspirin compared to aspirin alone in PAD patients.,ddc198ccb56f3d98e6906adc3f6f99cf
11871816,Was treatment with rivaroxaban plus aspirin cost-effective compared to aspirin alone in CAD patients (pmcid=11871816)?,"No, treatment with rivaroxaban plus aspirin was not cost-effective compared to aspirin alone in CAD patients according to the information provided in the context.",ddc198ccb56f3d98e6906adc3f6f99cf
11871816,What was the estimated annual budget impact for rivaroxaban plus aspirin and rivaroxaban alone in patients with coronary and peripheral artery diseases in Iran (pmcid=11871816)?,"The estimated annual budget impact was $28,253,135 for rivaroxaban plus aspirin and $292,593,909 for rivaroxaban alone in patients with coronary and peripheral artery diseases in Iran.",ddc198ccb56f3d98e6906adc3f6f99cf
11871816,What did this study show about the cost-effectiveness of rivaroxaban plus aspirin in patients with coronary and peripheral artery diseases (pmcid=11871816)?,This study showed that rivaroxaban plus aspirin is a cost-effective alternative in patients with peripheral artery disease (PAD) and in the total of patients with coronary artery disease (CAD) and PAD.,ddc198ccb56f3d98e6906adc3f6f99cf
11871816,Was rivaroxaban plus aspirin or rivaroxaban alone cost-effective in CAD patients? (pmcid=11871816),"In CAD patients, rivaroxaban plus aspirin and rivaroxaban alone were not cost-effective.",ddc198ccb56f3d98e6906adc3f6f99cf
11881394,What is the background information provided in the abstract regarding Lennox-Gastaut syndrome (pmcid=11881394)?,"The background information provided in the abstract regarding Lennox-Gastaut syndrome (pmcid=11881394) is that it is a severe encephalopathic disease that leads to a decrease in the quality of life, physical injury, psychosocial impairment, and a significant increase in treatment costs.",f72ca8a5314e56cf03a3e5f7079df43c
11881394,What is cannabidiol approved for in the adjunctive treatment of Lennox Gastaut syndrome (pmcid=11881394)?,Cannabidiol (CBD) is approved for the adjunctive treatment of tonic-colonic seizures in LGS.,f72ca8a5314e56cf03a3e5f7079df43c
11881394,What did the study aim to determine in patients with LGS syndrome? (pmcid=11881394),The study aimed to determine the cost-effectiveness of CBD compared to the usual treatment in patients with Lennox Gastaut syndrome.,f72ca8a5314e56cf03a3e5f7079df43c
11881394,What type of model was developed to compare the cost-effectiveness of adjunctive CBD versus usual care (pmcid=11881394)?,Markov model,f72ca8a5314e56cf03a3e5f7079df43c
11881394,What type of analysis was performed over a 5-year time horizon (pmcid=11881394)?,Budget impact analysis,f72ca8a5314e56cf03a3e5f7079df43c
11881394,What was the incremental cost-effectiveness ratio (ICER) calculated for in this study (pmcid=11881394)?,The incremental cost-effectiveness ratio (ICER) was calculated for cost-effectiveness analysis (CEA) in this study (pmcid=11881394).,f72ca8a5314e56cf03a3e5f7079df43c
11881394,What was the cost-effectiveness of CBD compared to usual care in the base case scenario (pmcid=11881394)?,CBD was cost-effective compared with usual care at $6573 per QALY in the base case scenario.,f72ca8a5314e56cf03a3e5f7079df43c
11881394,What did the sensitivity analyses substantiate in the study on the value of cannabidiol as adjunctive treatment for Lennox Gastaut syndrome (pmcid=11881394)?,The sensitivity analyses substantiated the results in the study on the value of cannabidiol as adjunctive treatment for Lennox Gastaut syndrome.,f72ca8a5314e56cf03a3e5f7079df43c
11881394,"What is the probability that CBD is cost-effective at a willingness to pay of $18,261 per quality-adjusted life-year, from a healthcare perspective (pmcid=11881394)?",77%,f72ca8a5314e56cf03a3e5f7079df43c
11881394,What was the increased budget associated with the market access of CBD in the next 5 years simulated (pmcid=11881394)?,"The increased budget associated with the market access of CBD in the next 5 years simulated was about $3,459,846 (+33%).",f72ca8a5314e56cf03a3e5f7079df43c
11881394,What is the overall budget increase expected in the next 5 years when comparing CBD to usual care in LGS patients (pmcid=11881394)?,Less than 34% overall budget increase,f72ca8a5314e56cf03a3e5f7079df43c
11881394,What do future studies need to confirm in the real world setting and in other countries (pmcid=11881394)?,Future studies need to confirm the value of cannabidiol as adjunctive treatment for Lennox Gastaut syndrome in the real world setting and in other countries.,f72ca8a5314e56cf03a3e5f7079df43c
11884430,What are major contributors to disability that significantly affect patients' quality of life (pmcid=11884430)?,Retinal diseases,b08d4c1364fb11ef6f4a4ffba4caf89c
11884430,What represents a significant disease and economic burden in Colombia (pmcid=11884430)?,Diabetic macular edema (DME) and neovascular age-related macular degeneration (nAMD),b08d4c1364fb11ef6f4a4ffba4caf89c
11884430,What is essential for the efficient allocation of healthcare resources (pmcid=11884430)?,Assessing the economic evaluation of available treatments is essential for the efficient allocation of healthcare resources.,b08d4c1364fb11ef6f4a4ffba4caf89c
11884430,What is the objective of the study (pmcid=11884430)?,The objective of the study with pmcid=11884430 is to estimate the cost-effectiveness and budget impact of using faricimab for the treatment of patients with Diabetic Macular Edema (DME) and Neovascular Age-Related Macular Degeneration (nAMD) within the Colombian health system.,b08d4c1364fb11ef6f4a4ffba4caf89c
11884430,What model was used to estimate the cost-effectiveness of faricimab in comparison to other treatments (pmcid=11884430)?,A 25-year Markov cohort model was used to estimate the cost-effectiveness of faricimab in comparison to other treatments in the study mentioned (pmcid=11884430).,b08d4c1364fb11ef6f4a4ffba4caf89c
11884430,What methodological guidelines were used for conducting the cost-effectiveness and budget impact analysis in this study (pmcid=11884430)?,The methodological guidelines of the local health technology assessment agency were used for conducting the cost-effectiveness and budget impact analysis in this study (pmcid=11884430).,b08d4c1364fb11ef6f4a4ffba4caf89c
11884430,What were the transition probabilities and injection frequencies derived from in the analysis (pmcid=11884430)?,The transition probabilities and injection frequencies were derived from the literature in the analysis of the use of Faricimab in Diabetic Macular Edema and Neovascular Age-Related Macular Degeneration in Colombia (pmcid=11884430).,b08d4c1364fb11ef6f4a4ffba4caf89c
11884430,What were the drug prices retrieved from for the analysis (pmcid=11884430)?,Drug prices were retrieved from public local databases.,b08d4c1364fb11ef6f4a4ffba4caf89c
11884430,What was assessed in terms of quality-adjusted life years in the study (pmcid=11884430)?,Quality-adjusted life years (QALYs),b08d4c1364fb11ef6f4a4ffba4caf89c
11884430,What was the basis for estimating the potential patient population for the budget impact analysis (pmcid=11884430)?,The potential patient population for the budget impact analysis was estimated based on disease prevalence and expert consultations.,b08d4c1364fb11ef6f4a4ffba4caf89c
11884430,What were the cost savings generated by faricimab treat-and-extend compared to other treatments in diabetic macular edema (pmcid=11884430)?,"Faricimab treat-and-extend generated cost savings of $3849 compared to aflibercept treat-and-extend, $1375 compared to ranibizumab treat-and-extend, and $2824 compared to brolucizumab for 8 to 12 weeks in diabetic macular edema.",b08d4c1364fb11ef6f4a4ffba4caf89c
11884430,What annual market share increase assumptions were made for faricimab in the study (pmcid=11884430)?,An annual market share increase of 15% for Diabetic Macular Edema (DME) and 13% for neovascular Age-Related Macular Degeneration (nAMD) was assumed for faricimab in the study with pmcid=11884430.,b08d4c1364fb11ef6f4a4ffba4caf89c
11884430,What is the conclusion regarding the cost-effectiveness of faricimab for both DME and nAMD in Colombia (pmcid=11884430)?,"Faricimab is a cost-effective alternative for both Diabetic Macular Edema (DME) and Neovascular Age-Related Macular Degeneration (nAMD) in Colombia, showing dominance over other anti-vascular endothelial growth factor agents.",b08d4c1364fb11ef6f4a4ffba4caf89c
11884430,What do the results suggest about the cost-effectiveness of Faricimab compared to other treatments? (pmcid=11884430),The results suggest that Faricimab provides better health outcomes at lower costs compared to other treatments for diabetic macular edema and neovascular age-related macular degeneration in Colombia.,b08d4c1364fb11ef6f4a4ffba4caf89c
11910135,What is scarce in evidence regarding psychological interventions targeting cancer patients diagnosed with an adjustment disorder (pmcid=11910135)?,Evidence on the efficacy of psychological interventions targeting cancer patients diagnosed with an adjustment disorder is scarce.,75e72be1e5da700109d4a13c20c877a3
11910135,What did this study aim to investigate (pmcid=11910135)?,This study aimed to investigate the efficacy and budget impact of a tailored psychological intervention program targeting cancer patients with adjustment disorder.,75e72be1e5da700109d4a13c20c877a3
11910135,What was the sample size and randomization process in the study (pmcid=11910135)?,"The sample size in the study was 59 patients, who were randomly assigned to either the intervention or control group.",75e72be1e5da700109d4a13c20c877a3
11910135,What did the AD-program consist of (pmcid=11910135)?,The AD-program consisted of three modules: psychoeducation and two additional modules provided when needed.,75e72be1e5da700109d4a13c20c877a3
11910135,What was the primary outcome measured in the study (pmcid=11910135)?,"The primary outcome measured in the study with pmcid=11910135 was psychological distress, as assessed by the Hospital Anxiety and Depression Scale (HADS).",75e72be1e5da700109d4a13c20c877a3
11910135,What were the secondary outcomes measured in the study (pmcid=11910135)?,The secondary outcomes measured in the study with pmcid=11910135 were mental adjustment to cancer (MAC) and health‐related quality of life (EORTC QLQ‐C30).,75e72be1e5da700109d4a13c20c877a3
11910135,What measures were completed at baseline and 3 and 6 months after randomisation (pmcid=11910135)?,Measures were completed at baseline and 3 and 6 months after randomisation.,75e72be1e5da700109d4a13c20c877a3
11910135,What were the budget impact analyses based on in the study conducted by Holtmaat K et al. (pmcid=11910135)?,"The budget impact analyses were based on the population size, the costs of the AD‐program, and other costs potentially affected by the AD‐program.",75e72be1e5da700109d4a13c20c877a3
11910135,What was the mean psychological distress score in the intervention group over time (pmcid=11910135)?,The mean psychological distress score in the intervention group decreased from 19.2 at T0 to 15.6 at T6.,75e72be1e5da700109d4a13c20c877a3
11910135,What was the outcome measure used to assess the decrease in the intervention group compared to the control condition (pmcid=11910135)?,The outcome measure used to assess the decrease in the intervention group compared to the control condition in the study with pmcid=11910135 was not specified in the provided context information.,75e72be1e5da700109d4a13c20c877a3
11910135,What were the significant differences between the two conditions in the study (pmcid=11910135)?,There were no significant differences between the two conditions in the study.,75e72be1e5da700109d4a13c20c877a3
11910135,"What was the estimated budget impact of the AD‐program per year to treat 14,430 patients (pmcid=11910135)?","The estimated budget impact of the AD‐program per year to treat 14,430 patients was 7–28 million euros.",75e72be1e5da700109d4a13c20c877a3
11910135,What was the statistical significance of the AD-program in this RCT (pmcid=11910135)?,The effect of the AD-program was not statistically significant in this RCT.,75e72be1e5da700109d4a13c20c877a3
11910135,What was a limitation of the study due to recruitment difficulties during the COVID‐19 pandemic (pmcid=11910135)?,The limitation of the study was that it was underpowered due to recruitment difficulties during the COVID‐19 pandemic.,75e72be1e5da700109d4a13c20c877a3
11910135,What is warranted regarding the AD‐program based on the abstract sentence (pmcid=11910135)?,More research on the efficacy and implementation of the AD‐program is warranted.,75e72be1e5da700109d4a13c20c877a3
11910135,What is the identifier for the trial registration in the Netherlands Trial Register (pmcid=11910135)?,NL7763,75e72be1e5da700109d4a13c20c877a3
11910135,What type of trial was conducted in this study (pmcid=11910135)?,A Randomised Controlled Trial,75e72be1e5da700109d4a13c20c877a3
11919128,What type of program was evaluated in the study (pmcid=11919128)?,A nurse-led telephone program for nonadherent to treatment Type 2 diabetics with comorbid depression (TELE-DD program) was evaluated in the study.,9b786e4fc89c9c578e271b403dc975a3
11919128,What was the target population for this study (pmcid=11919128)?,The target population for this study (pmcid=11919128) was Type 2 diabetic patients with comorbid depression who were nonadherent to their pharmacological treatment.,9b786e4fc89c9c578e271b403dc975a3
11919128,What was assessed in the budgetary impact analysis over 1 year in the region of reference of the randomized clinical trial (pmcid=11919128)?,The budgetary impact over 1 year of implementing the nurse-led telephone program for nonadherent to treatment type 2 diabetics with comorbid depression was assessed in the region of reference of the randomized clinical trial.,9b786e4fc89c9c578e271b403dc975a3
11919128,What was the average cost per controlled patient in the TELE-DD group compared to the control group at 6 months (pmcid=11919128)?,€160.31 vs.,9b786e4fc89c9c578e271b403dc975a3
11919128,What was the cost difference between the two groups at 12 weeks (pmcid=11919128)?,The cost difference between the two groups at 12 weeks in the study with pmcid 11919128 was €100.30.,9b786e4fc89c9c578e271b403dc975a3
11919128,What was the cost comparison between the nurse-led telephone program and usual care at 6 months and 18 months (pmcid=11919128)?,"At 6 months, the cost of the nurse-led telephone program was €179.59 compared to €209.22 for usual care.",9b786e4fc89c9c578e271b403dc975a3
11919128,"What were the incremental cost-effectiveness ratios at 6, 12, and 18 months in the study conducted by Gómez-Barrera M (pmcid=11919128)?","The incremental cost-effectiveness ratios at 6, 12, and 18 months in the study conducted by Gómez-Barrera M were €254.47, €143.65, and €177.46, respectively.",9b786e4fc89c9c578e271b403dc975a3
11919128,What was the result of implementing the TELE-DD program in terms of expenditure for the funder in the first year (pmcid=11919128)?,"The result of implementing the TELE-DD program in terms of expenditure for the funder in the first year was a reduction of €721,940.68.",9b786e4fc89c9c578e271b403dc975a3
11919128,What role did nursing play in chronic patient management according to the results (pmcid=11919128)?,The results indicated that nursing played a significant role in chronic patient management and the efficient use of healthcare resources.,9b786e4fc89c9c578e271b403dc975a3
11922778,What is Cangrelor indicated for in patients undergoing percutaneous coronary intervention (PCI) who have not received an oral P2Y12 inhibitor prior to the procedure (pmcid=11922778)?,Cangrelor is indicated for the reduction of thrombotic cardiovascular events in patients undergoing percutaneous coronary intervention (PCI) who have not received an oral P2Y12 inhibitor prior to the procedure.,40cf76d1c9b8c5a32467f5e38eaec993
11922778,What did this study aim to estimate in the United Kingdom (pmcid=11922778)?,The study aimed to estimate the affordability and budget impact of introducing cangrelor within the licensed out-of-hospital cardiac arrest (OHCA) population in the United Kingdom.,40cf76d1c9b8c5a32467f5e38eaec993
11922778,What was the method used to estimate the impact of introducing cangrelor to hospitals over 5 years (pmcid=11922778)?,A budget impact model was developed.,40cf76d1c9b8c5a32467f5e38eaec993
11922778,What data sources were used for the efficacy and safety data in the study (pmcid=11922778)?,"The data sources used for the efficacy and safety data in the study with pmcid=11922778 were clinical trials, cost data (2021/22 GBP), literature, NHS reference costs, and British National Formulary data.",40cf76d1c9b8c5a32467f5e38eaec993
11922778,What treatments were used as comparators in the study (pmcid=11922778)?,The treatments used as comparators in the study with pmcid=11922778 were glycoprotein IIb/IIIa inhibitors and aspirin in combination with heparin.,40cf76d1c9b8c5a32467f5e38eaec993
11922778,What was the estimated uptake of Cangrelor in Year 1 (pmcid=11922778)?,The estimated uptake of Cangrelor in Year 1 was 50%.,40cf76d1c9b8c5a32467f5e38eaec993
11922778,What was the source of estimation for the OHCA population in the UK (pmcid=11922778)?,The source of estimation for the OHCA population in the UK in the study with pmcid=11922778 was the British Cardiovascular Intervention Society National Audit 2021/22.,40cf76d1c9b8c5a32467f5e38eaec993
11922778,What are the modelled cost savings of cangrelor over 5 years for the treatment of out-of-hospital cardiac arrest patients who require percutaneous coronary intervention (pmcid=11922778)?,"The modelled cost savings of cangrelor over 5 years for the treatment of out-of-hospital cardiac arrest patients who require percutaneous coronary intervention is £2,709,853.",40cf76d1c9b8c5a32467f5e38eaec993
11922778,How many hospital days were avoided over 5 years due to fewer bleeding events? (pmcid=11922778),"Approximately 6,882 hospital days were avoided over 5 years due to fewer bleeding events.",40cf76d1c9b8c5a32467f5e38eaec993
11922778,What may Cangrelor lead to in terms of cost savings in the UK (pmcid=11922778)?,Cangrelor may lead to cost savings in the UK for out-of-hospital cardiac arrest patients who cannot take oral P2Y12 inhibitors.,40cf76d1c9b8c5a32467f5e38eaec993
11927220,What is the background information provided in the abstract of the study (pmcid=11927220)?,"The background information provided in the abstract of the study (pmcid=11927220) is that tobacco use is the world's leading preventable cause of death, with the highest burden in low and middle-income countries (LMICs).",a497e7668863b20ca1126b4b5600786a
11927220,What population is particularly vulnerable to smoking tobacco according to the abstract sentence provided (pmcid=11927220)?,Those who have mental illness,a497e7668863b20ca1126b4b5600786a
11927220,What benefits for mental health have been demonstrated by quitting smoking (pmcid=11927220)?,Reducing stress and improving the quality of life.,a497e7668863b20ca1126b4b5600786a
11927220,What has not yet been explored regarding the economic feasibility of introducing Nicotine Replacement Therapy (NRT) in the psychiatric medical environment in South Africa (pmcid=11927220)?,The economic feasibility of introducing Nicotine Replacement Therapy (NRT) in the psychiatric medical environment in South Africa has not yet been explored.,a497e7668863b20ca1126b4b5600786a
11927220,What is the aim of the study conducted by Maphanga B regarding the budget impact of implementing an NRT-based smoking cessation program in a psychiatric hospital? (pmcid=11927220),The aim of the study conducted by Maphanga B is to assess the impact on the budget of implementing an NRT-based smoking cessation program in a psychiatric hospital.,a497e7668863b20ca1126b4b5600786a
11927220,What framework did the study follow (pmcid=11927220)?,The study followed a budget impact analysis framework.,a497e7668863b20ca1126b4b5600786a
11927220,What data were retrieved from 214 patients' medical records (pmcid=11927220)?,"Data were retrieved between May 19 and Aug 18, 2023.",a497e7668863b20ca1126b4b5600786a
11927220,What approach was used to estimate the direct treatment costs of NRT smoking cessation in the study (pmcid=11927220)?,An ingredients costing approach was used to estimate the direct treatment costs of NRT smoking cessation in the study with pmcid=11927220.,a497e7668863b20ca1126b4b5600786a
11927220,What currency were all costs expressed in for the budget impact analysis of nicotine replacement therapy among patients who smoke tobacco and have mental illness in South Africa (pmcid=11927220)?,All costs were expressed in ZAR (South African currency).,a497e7668863b20ca1126b4b5600786a
11927220,What perspective was the economic evaluation conducted from in this study (pmcid: 11927220)?,The economic evaluation was conducted from the payer's perspective.,a497e7668863b20ca1126b4b5600786a
11927220,What type of analysis was conducted in the study (pmcid=11927220)?,A two-way 10% sensitivity analysis was conducted.,a497e7668863b20ca1126b4b5600786a
11927220,"What were the demographics of the study participants in terms of race, gender, employment status, diagnosis, and smoking habits (pmcid=11927220)?","The study participants were primarily black in terms of race, male in terms of gender, unemployed in terms of employment status, diagnosed with schizophrenia in terms of diagnosis, and smoked lightly in terms of smoking habits.",a497e7668863b20ca1126b4b5600786a
11927220,How much would be the expenditure for implementing the 3-month treatment period of NRT smoking cessation program for 214 patients in South Africa (pmcid=11927220)?,The expenditure for implementing the 3-month treatment period of NRT smoking cessation program for 214 patients in South Africa would be R1 478 915.42.,a497e7668863b20ca1126b4b5600786a
11927220,What percentage of the hospital pharmacy budget will be required for nicotine replacement therapy among patients who smoke tobacco and have mental illness in South Africa (pmcid=11927220)?,6.09%,a497e7668863b20ca1126b4b5600786a
11927220,What do the findings indicate about the implementation of NRT among patients with mental illnesses in South Africa (pmcid=11927220)?,"The findings indicate that implementing nicotine replacement therapy (NRT) among patients with mental illnesses in South Africa is crucial for improving overall health outcomes, but it would require substantial investment.",a497e7668863b20ca1126b4b5600786a
11927220,What would vary by treatment settings and program duration in the budgetary allocation for NRT smoking cessation interventions? (pmcid=11927220),The budgetary allocation for NRT smoking cessation interventions would vary by treatment settings and program duration.,a497e7668863b20ca1126b4b5600786a
11927220,What is necessary to ensure the program's sustainability within the broader healthcare framework in South Africa (pmcid=11927220)?,Careful consideration of budget allocation and resource distribution is necessary to ensure the program's sustainability within the broader healthcare framework in South Africa.,a497e7668863b20ca1126b4b5600786a
