SLR_pmcid_tbl,single_studies,question,answer
10993388_Table_2,Vickerman et al. (25): Vickerman et al. (25); Blandford et al. (26): Blandford et al. (26); Schackman et al. (27): Schackman et al. (27); Rydzak and Goldie (28): Rydzak and Goldie (28); Owusu-Edusei 2011 (29): Owusu-Edusei 2011 (29); Kuznik 2013 (30): Kuznik 2013 (30); Kahn 2014 (31): Kahn 2014 (31); Larson 2014 (22): Larson 2014 (22); Owusu-Edusei et al. (19): Owusu-Edusei et al. (19); Albright et al. (32): Albright et al. (32); Kuznik et al. (33): Kuznik et al. (33); Terris-Prestholt et al. (21): Terris-Prestholt et al. (21); Bristow et al. (17): Bristow et al. (17); Hersh et al. (34): Hersh et al. (34); Huntington et al. (35): Huntington et al. (35); Romero et al. (36): Romero et al. (36); Rodriguez et al. (18): Rodriguez et al. (18),What time horizons are considered in these studies?,Blandford et al. (26): Y; Schackman et al. (27): Y; Rydzak and Goldie (28): Y; Owusu-Edusei 2011 (29): Y; Kuznik 2013 (30): Y; Kahn 2014 (31): Y; Larson 2014 (22): Y; Owusu-Edusei et al. (19): Y; Albright et al. (32): Y; Kuznik et al. (33): N; Terris-Prestholt et al. (21): N; Bristow et al. (17): Y; Hersh et al. (34): Y; Huntington et al. (35): Y; Romero et al. (36): Y; Rodriguez et al. (18): Y
10993388_Table_2,Vickerman et al. (25): Vickerman et al. (25); Blandford et al. (26): Blandford et al. (26); Schackman et al. (27): Schackman et al. (27); Rydzak and Goldie (28): Rydzak and Goldie (28); Owusu-Edusei 2011 (29): Owusu-Edusei 2011 (29); Kuznik 2013 (30): Kuznik 2013 (30); Kahn 2014 (31): Kahn 2014 (31); Larson 2014 (22): Larson 2014 (22); Owusu-Edusei et al. (19): Owusu-Edusei et al. (19); Albright et al. (32): Albright et al. (32); Kuznik et al. (33): Kuznik et al. (33); Terris-Prestholt et al. (21): Terris-Prestholt et al. (21); Bristow et al. (17): Bristow et al. (17); Hersh et al. (34): Hersh et al. (34); Huntington et al. (35): Huntington et al. (35); Romero et al. (36): Romero et al. (36); Rodriguez et al. (18): Rodriguez et al. (18),What discount rates are applied in these studies?,Vickerman et al. (25): Not specified; Blandford et al. (26): Not applicable; Schackman et al. (27): Yes; Rydzak and Goldie (28): Not specified; Owusu-Edusei 2011 (29): Yes; Kuznik 2013 (30): Yes; Kahn 2014 (31): Yes; Larson 2014 (22): Yes; Owusu-Edusei et al. (19): Yes; Albright et al. (32): Yes; Kuznik et al. (33): Yes; Terris-Prestholt et al. (21): Yes; Bristow et al. (17): Yes; Hersh et al. (34): Yes; Huntington et al. (35): Yes; Romero et al. (36): Yes; Rodriguez et al. (18): Yes
10993388_Table_2,Vickerman et al. (25): Vickerman et al. (25); Blandford et al. (26): Blandford et al. (26); Schackman et al. (27): Schackman et al. (27); Rydzak and Goldie (28): Rydzak and Goldie (28); Owusu-Edusei 2011 (29): Owusu-Edusei 2011 (29); Kuznik 2013 (30): Kuznik 2013 (30); Kahn 2014 (31): Kahn 2014 (31); Larson 2014 (22): Larson 2014 (22); Owusu-Edusei et al. (19): Owusu-Edusei et al. (19); Albright et al. (32): Albright et al. (32); Kuznik et al. (33): Kuznik et al. (33); Terris-Prestholt et al. (21): Terris-Prestholt et al. (21); Bristow et al. (17): Bristow et al. (17); Hersh et al. (34): Hersh et al. (34); Huntington et al. (35): Huntington et al. (35); Romero et al. (36): Romero et al. (36); Rodriguez et al. (18): Rodriguez et al. (18),How are outcomes selected in these studies?,Vickerman et al. (25): Not specified; Blandford et al. (26): Specified; Schackman et al. (27): Specified; Rydzak and Goldie (28): Specified; Owusu-Edusei 2011 (29): Specified; Kuznik 2013 (30): Specified; Kahn 2014 (31): Specified; Larson 2014 (22): Not specified; Owusu-Edusei et al. (19): Specified; Albright et al. (32): Specified; Kuznik et al. (33): Not specified; Terris-Prestholt et al. (21): Not specified; Bristow et al. (17): Specified; Hersh et al. (34): Specified; Huntington et al. (35): Specified; Romero et al. (36): Specified; Rodriguez et al. (18): Specified
10993388_Table_2,Vickerman et al. (25): Vickerman et al. (25); Blandford et al. (26): Blandford et al. (26); Schackman et al. (27): Schackman et al. (27); Rydzak and Goldie (28): Rydzak and Goldie (28); Owusu-Edusei 2011 (29): Owusu-Edusei 2011 (29); Kuznik 2013 (30): Kuznik 2013 (30); Kahn 2014 (31): Kahn 2014 (31); Larson 2014 (22): Larson 2014 (22); Owusu-Edusei et al. (19): Owusu-Edusei et al. (19); Albright et al. (32): Albright et al. (32); Kuznik et al. (33): Kuznik et al. (33); Terris-Prestholt et al. (21): Terris-Prestholt et al. (21); Bristow et al. (17): Bristow et al. (17); Hersh et al. (34): Hersh et al. (34); Huntington et al. (35): Huntington et al. (35); Romero et al. (36): Romero et al. (36); Rodriguez et al. (18): Rodriguez et al. (18),How are outcomes measured in these studies?,Vickerman et al. (25): Y; Blandford et al. (26): Y; Schackman et al. (27): Y; Rydzak and Goldie (28): Y; Owusu-Edusei 2011 (29): Y; Kuznik 2013 (30): Y; Kahn 2014 (31): Y; Larson 2014 (22): Y; Owusu-Edusei et al. (19): Y; Albright et al. (32): Y; Kuznik et al. (33): Y; Terris-Prestholt et al. (21): Y; Bristow et al. (17): Y; Hersh et al. (34): Y; Huntington et al. (35): Y; Romero et al. (36): Y; Rodriguez et al. (18): Y
10993388_Table_2,Vickerman et al. (25): Vickerman et al. (25); Blandford et al. (26): Blandford et al. (26); Schackman et al. (27): Schackman et al. (27); Rydzak and Goldie (28): Rydzak and Goldie (28); Owusu-Edusei 2011 (29): Owusu-Edusei 2011 (29); Kuznik 2013 (30): Kuznik 2013 (30); Kahn 2014 (31): Kahn 2014 (31); Larson 2014 (22): Larson 2014 (22); Owusu-Edusei et al. (19): Owusu-Edusei et al. (19); Albright et al. (32): Albright et al. (32); Kuznik et al. (33): Kuznik et al. (33); Terris-Prestholt et al. (21): Terris-Prestholt et al. (21); Bristow et al. (17): Bristow et al. (17); Hersh et al. (34): Hersh et al. (34); Huntington et al. (35): Huntington et al. (35); Romero et al. (36): Romero et al. (36); Rodriguez et al. (18): Rodriguez et al. (18),How are outcomes valued in these studies?,Vickerman et al. (25): Y; Blandford et al. (26): Y; Schackman et al. (27): Y; Rydzak and Goldie (28): Y; Owusu-Edusei 2011 (29): Y; Kuznik 2013 (30): Y; Kahn 2014 (31): Y; Larson 2014 (22): Y; Owusu-Edusei et al. (19): Y; Albright et al. (32): Y; Kuznik et al. (33): Y; Terris-Prestholt et al. (21): Y; Bristow et al. (17): Y; Hersh et al. (34): Y; Huntington et al. (35): Y; Romero et al. (36): Y; Rodriguez et al. (18): Y
10993388_Table_2,Vickerman et al. (25): Vickerman et al. (25); Blandford et al. (26): Blandford et al. (26); Schackman et al. (27): Schackman et al. (27); Rydzak and Goldie (28): Rydzak and Goldie (28); Owusu-Edusei 2011 (29): Owusu-Edusei 2011 (29); Kuznik 2013 (30): Kuznik 2013 (30); Kahn 2014 (31): Kahn 2014 (31); Larson 2014 (22): Larson 2014 (22); Owusu-Edusei et al. (19): Owusu-Edusei et al. (19); Albright et al. (32): Albright et al. (32); Kuznik et al. (33): Kuznik et al. (33); Terris-Prestholt et al. (21): Terris-Prestholt et al. (21); Bristow et al. (17): Bristow et al. (17); Hersh et al. (34): Hersh et al. (34); Huntington et al. (35): Huntington et al. (35); Romero et al. (36): Romero et al. (36); Rodriguez et al. (18): Rodriguez et al. (18),How are resources and costs measured and valued in these studies?,Vickerman et al. (25): Y; Blandford et al. (26): Y; Schackman et al. (27): Y; Rydzak and Goldie (28): Y; Owusu-Edusei 2011 (29): Y; Kuznik 2013 (30): Y; Kahn 2014 (31): Y; Larson 2014 (22): Y; Owusu-Edusei et al. (19): Y; Albright et al. (32): Y; Kuznik et al. (33): Y; Terris-Prestholt et al. (21): Y; Bristow et al. (17): Y; Hersh et al. (34): Y; Huntington et al. (35): Y; Romero et al. (36): Y; Rodriguez et al. (18): Y
10993388_Table_2,Vickerman et al. (25): Vickerman et al. (25); Blandford et al. (26): Blandford et al. (26); Schackman et al. (27): Schackman et al. (27); Rydzak and Goldie (28): Rydzak and Goldie (28); Owusu-Edusei 2011 (29): Owusu-Edusei 2011 (29); Kuznik 2013 (30): Kuznik 2013 (30); Kahn 2014 (31): Kahn 2014 (31); Larson 2014 (22): Larson 2014 (22); Owusu-Edusei et al. (19): Owusu-Edusei et al. (19); Albright et al. (32): Albright et al. (32); Kuznik et al. (33): Kuznik et al. (33); Terris-Prestholt et al. (21): Terris-Prestholt et al. (21); Bristow et al. (17): Bristow et al. (17); Hersh et al. (34): Hersh et al. (34); Huntington et al. (35): Huntington et al. (35); Romero et al. (36): Romero et al. (36); Rodriguez et al. (18): Rodriguez et al. (18),"What currency, price date, and conversion methods are used in these studies?",Vickerman et al. (25): Y; Blandford et al. (26): Y; Schackman et al. (27): Y; Rydzak and Goldie (28): Y; Owusu-Edusei 2011 (29): Y; Kuznik 2013 (30): Y; Kahn 2014 (31): Y; Larson 2014 (22): Y; Owusu-Edusei et al. (19): Y; Albright et al. (32): Y; Kuznik et al. (33): Y; Terris-Prestholt et al. (21): Y; Bristow et al. (17): Y; Hersh et al. (34): Y; Huntington et al. (35): Y; Romero et al. (36): Y; Rodriguez et al. (18): Y
10993388_Table_2,Vickerman et al. (25): Vickerman et al. (25); Blandford et al. (26): Blandford et al. (26); Schackman et al. (27): Schackman et al. (27); Rydzak and Goldie (28): Rydzak and Goldie (28); Owusu-Edusei 2011 (29): Owusu-Edusei 2011 (29); Kuznik 2013 (30): Kuznik 2013 (30); Kahn 2014 (31): Kahn 2014 (31); Larson 2014 (22): Larson 2014 (22); Owusu-Edusei et al. (19): Owusu-Edusei et al. (19); Albright et al. (32): Albright et al. (32); Kuznik et al. (33): Kuznik et al. (33); Terris-Prestholt et al. (21): Terris-Prestholt et al. (21); Bristow et al. (17): Bristow et al. (17); Hersh et al. (34): Hersh et al. (34); Huntington et al. (35): Huntington et al. (35); Romero et al. (36): Romero et al. (36); Rodriguez et al. (18): Rodriguez et al. (18),What rationales and descriptions of models are provided in these studies?,Vickerman et al. (25): Y; Blandford et al. (26): Y; Schackman et al. (27): Y; Rydzak and Goldie (28): Y; Owusu-Edusei 2011 (29): Y; Kuznik 2013 (30): Y; Kahn 2014 (31): N; Larson 2014 (22): N; Owusu-Edusei et al. (19): Y; Albright et al. (32): Y; Kuznik et al. (33): N; Terris-Prestholt et al. (21): Y; Bristow et al. (17): Y; Hersh et al. (34): Y; Huntington et al. (35): Y; Romero et al. (36): Y; Rodriguez et al. (18): Y
10993388_Table_2,Vickerman et al. (25): Vickerman et al. (25); Blandford et al. (26): Blandford et al. (26); Schackman et al. (27): Schackman et al. (27); Rydzak and Goldie (28): Rydzak and Goldie (28); Owusu-Edusei 2011 (29): Owusu-Edusei 2011 (29); Kuznik 2013 (30): Kuznik 2013 (30); Kahn 2014 (31): Kahn 2014 (31); Larson 2014 (22): Larson 2014 (22); Owusu-Edusei et al. (19): Owusu-Edusei et al. (19); Albright et al. (32): Albright et al. (32); Kuznik et al. (33): Kuznik et al. (33); Terris-Prestholt et al. (21): Terris-Prestholt et al. (21); Bristow et al. (17): Bristow et al. (17); Hersh et al. (34): Hersh et al. (34); Huntington et al. (35): Huntington et al. (35); Romero et al. (36): Romero et al. (36); Rodriguez et al. (18): Rodriguez et al. (18),What analytics and assumptions are made in these studies?,Vickerman et al. (25): Y; Blandford et al. (26): Y; Schackman et al. (27): Y; Rydzak and Goldie (28): Y; Owusu-Edusei 2011 (29): Y; Kuznik 2013 (30): Y; Kahn 2014 (31): N; Larson 2014 (22): N; Owusu-Edusei et al. (19): Y; Albright et al. (32): Y; Kuznik et al. (33): N; Terris-Prestholt et al. (21): Y; Bristow et al. (17): Y; Hersh et al. (34): Y; Huntington et al. (35): Y; Romero et al. (36): Y; Rodriguez et al. (18): Y
10993388_Table_2,Vickerman et al. (25): Vickerman et al. (25); Blandford et al. (26): Blandford et al. (26); Schackman et al. (27): Schackman et al. (27); Rydzak and Goldie (28): Rydzak and Goldie (28); Owusu-Edusei 2011 (29): Owusu-Edusei 2011 (29); Kuznik 2013 (30): Kuznik 2013 (30); Kahn 2014 (31): Kahn 2014 (31); Larson 2014 (22): Larson 2014 (22); Owusu-Edusei et al. (19): Owusu-Edusei et al. (19); Albright et al. (32): Albright et al. (32); Kuznik et al. (33): Kuznik et al. (33); Terris-Prestholt et al. (21): Terris-Prestholt et al. (21); Bristow et al. (17): Bristow et al. (17); Hersh et al. (34): Hersh et al. (34); Huntington et al. (35): Huntington et al. (35); Romero et al. (36): Romero et al. (36); Rodriguez et al. (18): Rodriguez et al. (18),How is heterogeneity characterized in these studies?,Vickerman et al. (25): Yes; Blandford et al. (26): Yes; Schackman et al. (27): Yes; Rydzak and Goldie (28): Yes; Owusu-Edusei 2011 (29): Yes; Kuznik 2013 (30): Yes; Kahn 2014 (31): No; Larson 2014 (22): No; Owusu-Edusei et al. (19): Yes; Albright et al. (32): Yes; Kuznik et al. (33): Yes; Terris-Prestholt et al. (21): Yes; Bristow et al. (17): Yes; Hersh et al. (34): Yes; Huntington et al. (35): Yes; Romero et al. (36): Yes; Rodriguez et al. (18): Yes
10993388_Table_2,Vickerman et al. (25): Vickerman et al. (25); Blandford et al. (26): Blandford et al. (26); Schackman et al. (27): Schackman et al. (27); Rydzak and Goldie (28): Rydzak and Goldie (28); Owusu-Edusei 2011 (29): Owusu-Edusei 2011 (29); Kuznik 2013 (30): Kuznik 2013 (30); Kahn 2014 (31): Kahn 2014 (31); Larson 2014 (22): Larson 2014 (22); Owusu-Edusei et al. (19): Owusu-Edusei et al. (19); Albright et al. (32): Albright et al. (32); Kuznik et al. (33): Kuznik et al. (33); Terris-Prestholt et al. (21): Terris-Prestholt et al. (21); Bristow et al. (17): Bristow et al. (17); Hersh et al. (34): Hersh et al. (34); Huntington et al. (35): Huntington et al. (35); Romero et al. (36): Romero et al. (36); Rodriguez et al. (18): Rodriguez et al. (18),How are distributional effects characterized in these studies?,Vickerman et al. (25): Not characterized; Blandford et al. (26): Not characterized; Schackman et al. (27): Not characterized; Rydzak and Goldie (28): Not characterized; Owusu-Edusei 2011 (29): Not characterized; Kuznik 2013 (30): Characterized; Kahn 2014 (31): Characterized; Larson 2014 (22): Not characterized; Owusu-Edusei et al. (19): Not characterized; Albright et al. (32): Not characterized; Kuznik et al. (33): Characterized; Terris-Prestholt et al. (21): Characterized; Bristow et al. (17): Not characterized; Hersh et al. (34): Not characterized; Huntington et al. (35): Not characterized; Romero et al. (36): Not characterized; Rodriguez et al. (18): Characterized
10993388_Table_2,Vickerman et al. (25): Vickerman et al. (25); Blandford et al. (26): Blandford et al. (26); Schackman et al. (27): Schackman et al. (27); Rydzak and Goldie (28): Rydzak and Goldie (28); Owusu-Edusei 2011 (29): Owusu-Edusei 2011 (29); Kuznik 2013 (30): Kuznik 2013 (30); Kahn 2014 (31): Kahn 2014 (31); Larson 2014 (22): Larson 2014 (22); Owusu-Edusei et al. (19): Owusu-Edusei et al. (19); Albright et al. (32): Albright et al. (32); Kuznik et al. (33): Kuznik et al. (33); Terris-Prestholt et al. (21): Terris-Prestholt et al. (21); Bristow et al. (17): Bristow et al. (17); Hersh et al. (34): Hersh et al. (34); Huntington et al. (35): Huntington et al. (35); Romero et al. (36): Romero et al. (36); Rodriguez et al. (18): Rodriguez et al. (18),How is uncertainty characterized in these studies?,Vickerman et al. (25): Uncertainty is not characterized.; Blandford et al. (26): Uncertainty is not characterized.; Schackman et al. (27): Uncertainty is characterized.; Rydzak and Goldie (28): Uncertainty is characterized.; Owusu-Edusei 2011 (29): Uncertainty is characterized.; Kuznik 2013 (30): Uncertainty is characterized.; Kahn 2014 (31): Uncertainty is characterized.; Larson 2014 (22): Uncertainty is characterized.; Owusu-Edusei et al. (19): Uncertainty is characterized.; Albright et al. (32): Uncertainty is characterized.; Kuznik et al. (33): Uncertainty is characterized.; Terris-Prestholt et al. (21): Uncertainty is characterized.; Bristow et al. (17): Uncertainty is characterized.; Hersh et al. (34): Uncertainty is characterized.; Huntington et al. (35): Uncertainty is characterized.; Romero et al. (36): Uncertainty is characterized.; Rodriguez et al. (18): Uncertainty is characterized.
10993388_Table_2,Vickerman et al. (25): Vickerman et al. (25); Blandford et al. (26): Blandford et al. (26); Schackman et al. (27): Schackman et al. (27); Rydzak and Goldie (28): Rydzak and Goldie (28); Owusu-Edusei 2011 (29): Owusu-Edusei 2011 (29); Kuznik 2013 (30): Kuznik 2013 (30); Kahn 2014 (31): Kahn 2014 (31); Larson 2014 (22): Larson 2014 (22); Owusu-Edusei et al. (19): Owusu-Edusei et al. (19); Albright et al. (32): Albright et al. (32); Kuznik et al. (33): Kuznik et al. (33); Terris-Prestholt et al. (21): Terris-Prestholt et al. (21); Bristow et al. (17): Bristow et al. (17); Hersh et al. (34): Hersh et al. (34); Huntington et al. (35): Huntington et al. (35); Romero et al. (36): Romero et al. (36); Rodriguez et al. (18): Rodriguez et al. (18),What approaches to engagement with patients and others are used in these studies?,Vickerman et al. (25): Not specified; Blandford et al. (26): Not specified; Schackman et al. (27): Not specified; Rydzak and Goldie (28): Not specified; Owusu-Edusei 2011 (29): Not specified; Kuznik 2013 (30): Not specified; Kahn 2014 (31): Not specified; Larson 2014 (22): Not specified; Owusu-Edusei et al. (19): Not specified; Albright et al. (32): Not specified; Kuznik et al. (33): Not specified; Terris-Prestholt et al. (21): Not specified; Bristow et al. (17): Not specified; Hersh et al. (34): Not specified; Huntington et al. (35): Not specified; Romero et al. (36): Not specified; Rodriguez et al. (18): Not specified
10993388_Table_2,Vickerman et al. (25): Vickerman et al. (25); Blandford et al. (26): Blandford et al. (26); Schackman et al. (27): Schackman et al. (27); Rydzak and Goldie (28): Rydzak and Goldie (28); Owusu-Edusei 2011 (29): Owusu-Edusei 2011 (29); Kuznik 2013 (30): Kuznik 2013 (30); Kahn 2014 (31): Kahn 2014 (31); Larson 2014 (22): Larson 2014 (22); Owusu-Edusei et al. (19): Owusu-Edusei et al. (19); Albright et al. (32): Albright et al. (32); Kuznik et al. (33): Kuznik et al. (33); Terris-Prestholt et al. (21): Terris-Prestholt et al. (21); Bristow et al. (17): Bristow et al. (17); Hersh et al. (34): Hersh et al. (34); Huntington et al. (35): Huntington et al. (35); Romero et al. (36): Romero et al. (36); Rodriguez et al. (18): Rodriguez et al. (18),What study parameters are defined in these studies?,Vickerman et al. (25): N; Blandford et al. (26): N; Schackman et al. (27): N; Rydzak and Goldie (28): N; Owusu-Edusei 2011 (29): N; Kuznik 2013 (30): N; Kahn 2014 (31): N; Larson 2014 (22): N; Owusu-Edusei et al. (19): N; Albright et al. (32): N; Kuznik et al. (33): N; Terris-Prestholt et al. (21): N; Bristow et al. (17): N; Hersh et al. (34): N; Huntington et al. (35): N; Romero et al. (36): N; Rodriguez et al. (18): N
10993388_Table_2,Vickerman et al. (25): Vickerman et al. (25); Blandford et al. (26): Blandford et al. (26); Schackman et al. (27): Schackman et al. (27); Rydzak and Goldie (28): Rydzak and Goldie (28); Owusu-Edusei 2011 (29): Owusu-Edusei 2011 (29); Kuznik 2013 (30): Kuznik 2013 (30); Kahn 2014 (31): Kahn 2014 (31); Larson 2014 (22): Larson 2014 (22); Owusu-Edusei et al. (19): Owusu-Edusei et al. (19); Albright et al. (32): Albright et al. (32); Kuznik et al. (33): Kuznik et al. (33); Terris-Prestholt et al. (21): Terris-Prestholt et al. (21); Bristow et al. (17): Bristow et al. (17); Hersh et al. (34): Hersh et al. (34); Huntington et al. (35): Huntington et al. (35); Romero et al. (36): Romero et al. (36); Rodriguez et al. (18): Rodriguez et al. (18),What summaries of the main results are provided in these studies?,Vickerman et al. (25): Y; Blandford et al. (26): Y; Schackman et al. (27): Y; Rydzak and Goldie (28): Y; Owusu-Edusei 2011 (29): Y; Kuznik 2013 (30): Y; Kahn 2014 (31): Y; Larson 2014 (22): Y; Owusu-Edusei et al. (19): Y; Albright et al. (32): Y; Kuznik et al. (33): Y; Terris-Prestholt et al. (21): Y; Bristow et al. (17): Y; Hersh et al. (34): Y; Huntington et al. (35): Y; Romero et al. (36): Y; Rodriguez et al. (18): Y
10993388_Table_2,Vickerman et al. (25): Vickerman et al. (25); Blandford et al. (26): Blandford et al. (26); Schackman et al. (27): Schackman et al. (27); Rydzak and Goldie (28): Rydzak and Goldie (28); Owusu-Edusei 2011 (29): Owusu-Edusei 2011 (29); Kuznik 2013 (30): Kuznik 2013 (30); Kahn 2014 (31): Kahn 2014 (31); Larson 2014 (22): Larson 2014 (22); Owusu-Edusei et al. (19): Owusu-Edusei et al. (19); Albright et al. (32): Albright et al. (32); Kuznik et al. (33): Kuznik et al. (33); Terris-Prestholt et al. (21): Terris-Prestholt et al. (21); Bristow et al. (17): Bristow et al. (17); Hersh et al. (34): Hersh et al. (34); Huntington et al. (35): Huntington et al. (35); Romero et al. (36): Romero et al. (36); Rodriguez et al. (18): Rodriguez et al. (18),What effects of uncertainty are discussed in these studies?,Schackman et al. (27): Y; Owusu-Edusei 2011 (29): Y; Kuznik 2013 (30): Y; Kahn 2014 (31): Y; Larson 2014 (22): Y; Owusu-Edusei et al. (19): Y; Albright et al. (32): Y; Kuznik et al. (33): Y; Terris-Prestholt et al. (21): Y; Bristow et al. (17): Y; Hersh et al. (34): Y; Huntington et al. (35): Y; Romero et al. (36): Y; Rodriguez et al. (18): Y
10993388_Table_2,Vickerman et al. (25): Vickerman et al. (25); Blandford et al. (26): Blandford et al. (26); Schackman et al. (27): Schackman et al. (27); Rydzak and Goldie (28): Rydzak and Goldie (28); Owusu-Edusei 2011 (29): Owusu-Edusei 2011 (29); Kuznik 2013 (30): Kuznik 2013 (30); Kahn 2014 (31): Kahn 2014 (31); Larson 2014 (22): Larson 2014 (22); Owusu-Edusei et al. (19): Owusu-Edusei et al. (19); Albright et al. (32): Albright et al. (32); Kuznik et al. (33): Kuznik et al. (33); Terris-Prestholt et al. (21): Terris-Prestholt et al. (21); Bristow et al. (17): Bristow et al. (17); Hersh et al. (34): Hersh et al. (34); Huntington et al. (35): Huntington et al. (35); Romero et al. (36): Romero et al. (36); Rodriguez et al. (18): Rodriguez et al. (18),What effects of engagement with patients and others are reported in these studies?,Vickerman et al. (25): Y; Blandford et al. (26): N; Schackman et al. (27): Y; Rydzak and Goldie (28): N; Owusu-Edusei 2011 (29): N; Kuznik 2013 (30): N; Kahn 2014 (31): N; Larson 2014 (22): N; Owusu-Edusei et al. (19): N; Albright et al. (32): N; Kuznik et al. (33): N; Terris-Prestholt et al. (21): N; Bristow et al. (17): N; Hersh et al. (34): N; Huntington et al. (35): N; Romero et al. (36): N; Rodriguez et al. (18): N
10993388_Table_2,Vickerman et al. (25): Vickerman et al. (25); Blandford et al. (26): Blandford et al. (26); Schackman et al. (27): Schackman et al. (27); Rydzak and Goldie (28): Rydzak and Goldie (28); Owusu-Edusei 2011 (29): Owusu-Edusei 2011 (29); Kuznik 2013 (30): Kuznik 2013 (30); Kahn 2014 (31): Kahn 2014 (31); Larson 2014 (22): Larson 2014 (22); Owusu-Edusei et al. (19): Owusu-Edusei et al. (19); Albright et al. (32): Albright et al. (32); Kuznik et al. (33): Kuznik et al. (33); Terris-Prestholt et al. (21): Terris-Prestholt et al. (21); Bristow et al. (17): Bristow et al. (17); Hersh et al. (34): Hersh et al. (34); Huntington et al. (35): Huntington et al. (35); Romero et al. (36): Romero et al. (36); Rodriguez et al. (18): Rodriguez et al. (18),"What findings, limitations, generalisability, and current knowledge are discussed in these studies?",Vickerman et al. (25): Y; Blandford et al. (26): Y; Schackman et al. (27): Y; Rydzak and Goldie (28): Y; Owusu-Edusei 2011 (29): Y; Kuznik 2013 (30): Y; Kahn 2014 (31): Y; Larson 2014 (22): Y; Owusu-Edusei et al. (19): Y; Albright et al. (32): Y; Kuznik et al. (33): Y; Terris-Prestholt et al. (21): Y; Bristow et al. (17): Y; Hersh et al. (34): Y; Huntington et al. (35): Y; Romero et al. (36): Y; Rodriguez et al. (18): Y
10993388_Table_2,Vickerman et al. (25): Vickerman et al. (25); Blandford et al. (26): Blandford et al. (26); Schackman et al. (27): Schackman et al. (27); Rydzak and Goldie (28): Rydzak and Goldie (28); Owusu-Edusei 2011 (29): Owusu-Edusei 2011 (29); Kuznik 2013 (30): Kuznik 2013 (30); Kahn 2014 (31): Kahn 2014 (31); Larson 2014 (22): Larson 2014 (22); Owusu-Edusei et al. (19): Owusu-Edusei et al. (19); Albright et al. (32): Albright et al. (32); Kuznik et al. (33): Kuznik et al. (33); Terris-Prestholt et al. (21): Terris-Prestholt et al. (21); Bristow et al. (17): Bristow et al. (17); Hersh et al. (34): Hersh et al. (34); Huntington et al. (35): Huntington et al. (35); Romero et al. (36): Romero et al. (36); Rodriguez et al. (18): Rodriguez et al. (18),What sources of funding are disclosed for these studies?,Vickerman et al. (25): N; Blandford et al. (26): N; Schackman et al. (27): Y; Rydzak and Goldie (28): N; Owusu-Edusei 2011 (29): N; Kuznik 2013 (30): Y; Kahn 2014 (31): Y; Larson 2014 (22): Y; Owusu-Edusei et al. (19): Y; Albright et al. (32): Y; Kuznik et al. (33): Y; Terris-Prestholt et al. (21): N; Bristow et al. (17): Y; Hersh et al. (34): Y; Huntington et al. (35): Y; Romero et al. (36): Y; Rodriguez et al. (18): Y
10993388_Table_2,Vickerman et al. (25): Vickerman et al. (25); Blandford et al. (26): Blandford et al. (26); Schackman et al. (27): Schackman et al. (27); Rydzak and Goldie (28): Rydzak and Goldie (28); Owusu-Edusei 2011 (29): Owusu-Edusei 2011 (29); Kuznik 2013 (30): Kuznik 2013 (30); Kahn 2014 (31): Kahn 2014 (31); Larson 2014 (22): Larson 2014 (22); Owusu-Edusei et al. (19): Owusu-Edusei et al. (19); Albright et al. (32): Albright et al. (32); Kuznik et al. (33): Kuznik et al. (33); Terris-Prestholt et al. (21): Terris-Prestholt et al. (21); Bristow et al. (17): Bristow et al. (17); Hersh et al. (34): Hersh et al. (34); Huntington et al. (35): Huntington et al. (35); Romero et al. (36): Romero et al. (36); Rodriguez et al. (18): Rodriguez et al. (18),What conflicts of interest are reported in these studies?,Vickerman et al. (25): N; Blandford et al. (26): N; Schackman et al. (27): Y; Rydzak and Goldie (28): N; Owusu-Edusei 2011 (29): N; Kuznik 2013 (30): Y; Kahn 2014 (31): Y; Larson 2014 (22): Y; Owusu-Edusei et al. (19): NA; Albright et al. (32): NA; Kuznik et al. (33): Y; Terris-Prestholt et al. (21): N; Bristow et al. (17): Y; Hersh et al. (34): NA; Huntington et al. (35): NA; Romero et al. (36): Y; Rodriguez et al. (18): Y
6386015_Table 1,Erhardt et al. [63]: Sweden; Schadlich et al. [70]: Germany; Anderson et al. [53]: South Africa; Hart et al. [65]: Spain; Ademi et al. [51]: Australia; Ademi et al. [52]: Australia; Lee et al. [41]: UK and Spain; Thanh et al. [50]: Canada; CADTH [47]: Canada; SMC [35]: Scotland,Which countries are these studies conducted in?,Erhardt et al. [63]: Sweden; Schadlich et al. [70]: Germany; Anderson et al. [53]: South Africa; Hart et al. [65]: Spain; Ademi et al. [51]: Australia; Ademi et al. [52]: Australia; Lee et al. [41]: UK and Spain; Thanh et al. [50]: Canada; CADTH [47]: Canada; SMC [35]: Scotland
